genome_id,NCBI_genus,NCBI_species,accession_numbers_all,BioSample,completeness,topology_longest_contig,contigger_used,number_of_replicons_contigs,number_of_plasmids,number_of_extrachromosomal,longest_contig_length (bp),total_assembly_length (bp),nanopore_coverage,1034_N50 (bp),1034_total_read_length (bp,illumina_read_pairs,polypolish_depth_of_zero (bp),longest_contig_total_genes,longest_contig_CDS_w_protein,rRNAs_longest_contig,tRNAs_longest_contig,GC_percent_genome (%),complete_BUSCOs_act_class,complete_single_copy_BUSCOs_act_class,complete_duplicated_BUSCOs_act_class,fragmented_BUSCOs_act_class,missing_BUSCOs_act_class,total_BUSCOs_searched_act_class,TIR_length_complete_Streptomyces (bp),filtlong keep-percent,genus_gtdb,species_gtdb,MASH_species,assigned_species,Assembly,Level,WGS,Chrs,Strain,Taxonomy,source
NBC_01257,Streptomyces,sp.,CP108472,SAMN24016467,near-complete,linear,flye-contigger NBC_01257,1,0,0,9191772,9191772,71x,24023,655503736,4521894,21,8017,7793,"6, 6, 6 (5S, 16S, 23S)",72,71.21,355,354,1,1,0,356,,,Streptomyces,Streptomyces sp.,sp_mash_021,Streptomyces sp. (sp_mash_021),GCA_035917255.1,Complete genome,undefined,1,NBC_01257,Streptomyces sp. NBC_01257,custom
NBC_01259,Streptomyces,sp.,"CP108467,CP108468,CP108469,CP108470,CP108471",SAMN24016468,chromosome,linear,flye-contigger NBC_01259,5,3,1,8573239,8973972,51x,17349,464430014,6795419,161,7987,7697,"6, 6, 6 (5S, 16S, 23S)",70,70.88,355,351,4,1,0,356,,,Streptomyces,Streptomyces sp001905365,,Streptomyces sp001905365,GCA_041435395.1,Complete genome,undefined,5,NBC_01259,Streptomyces sp. NBC_01259,custom
NBC_01260,Streptomyces,sp.,"CP108464,CP108465,CP108466",SAMN24016469,chromosome,linear,npgm-contigger NBC_01260,3,2,0,9124354,9279395,31x,26031,285275673,9347633,30,8298,7774,"6, 6, 6 (5S, 16S, 23S)",72,70.49,355,351,4,1,0,356,198408.0,,Streptomyces,Streptomyces laculatispora,,Streptomyces laculatispora,GCA_036226405.1,Complete genome,undefined,3,NBC_01260,Streptomyces sp. NBC_01260,custom
NBC_01261,Streptomyces,sp.,CP108463,SAMN24016470,chromosome,linear,npgm-contigger NBC_01261,1,0,0,11585837,11585837,25x,22222,305143317,7719403,83,10273,9906,"6, 6, 6 (5S, 16S, 23S)",71,70.01,355,352,3,1,0,356,91012.0,,Streptomyces,Streptomyces sp.,sp_mash_016,Streptomyces sp. (sp_mash_016),GCA_036226385.1,Complete genome,undefined,1,NBC_01261,Streptomyces sp. NBC_01261,custom
NBC_01262,Streptomyces,sp.,CP108462,SAMN24016471,chromosome,linear,npgm-contigger NBC_01262,1,0,0,9736065,9736065,44x,27215,432379610,8062283,50,8984,8649,"6, 6, 6 (5S, 16S, 23S)",69,70.75,354,353,1,2,0,356,44480.0,50.0,Streptomyces,Streptomyces sp.,sp_mash_151,Streptomyces sp. (sp_mash_151),GCA_036226365.1,Complete genome,undefined,1,NBC_01262,Streptomyces sp. NBC_01262,custom
NBC_01263,Kitasatospora,purpeofusca,"JAPEOW010000001,JAPEOW010000002,JAPEOW010000003",SAMN24016472,near-complete,linear,flye-contigger NBC_01263,3,0,0,3544856,8856443,46x,15261,425478794,8503546,550,7675,7384,"12, 12, 12 (5S, 16S, 23S)",74,73.28,355,354,1,1,0,356,,,Kitasatospora,Kitasatospora purpeofusca,,Kitasatospora purpeofusca,GCA_026340775.1,Contig,JAPEOW000000000,undefined,NBC_01263,Kitasatospora purpeofusca,custom
NBC_01264,Streptomyces,sp.,"JAPEOX010000001,JAPEOX010000002,JAPEOX010000003,JAPEOX010000004,JAPEOX010000005,JAPEOX010000006,JAPEOX010000007,JAPEOX010000008,JAPEOX010000009,JAPEOX010000010",SAMN24016473,near-complete,linear,flye-contigger NBC_01264,10,0,0,7011397,10673219,50x,20021,556206755,10079506,296,10006,9388,"7, 7, 7 (5S, 16S, 23S)",80,71.34,355,349,6,1,0,356,,,Streptomyces,Streptomyces sp.,sp_mash_080,Streptomyces sp. (sp_mash_080),GCA_026340675.1,Contig,JAPEOX000000000,undefined,NBC_01264,Streptomyces sp. NBC_01264,custom
NBC_01265,Kitasatospora,herbaricolor,"CP108460,CP108461",SAMN24016474,chromosome,linear,npgm-contigger NBC_01265,2,1,0,9672253,9736445,38x,20500,359925524,9133178,770,8200,7854,"9, 9, 9 (5S, 16S, 23S)",74,73.48,355,354,1,0,1,356,,,Kitasatospora,Kitasatospora herbaricolor,,Kitasatospora herbaricolor,GCA_036243155.1,Complete genome,undefined,2,NBC_01265,Kitasatospora herbaricolor,custom
NBC_01266,Kitasatospora,sp.,"CP108458,CP108459",SAMN24016475,chromosome,linear,flye-contigger NBC_01266,2,1,0,8425813,8569703,75x,24251,658969832,4879893,281,7331,7058,"9, 9, 9 (5S, 16S, 23S)",71,72.3,354,350,4,2,0,356,,,Kitasatospora,Kitasatospora sp.,sp_mash_118,Kitasatospora sp. (sp_mash_118),GCA_036242395.1,Complete genome,undefined,2,NBC_01266,Kitasatospora sp. NBC_01266,custom
NBC_01267,Streptomyces,sp.,"CP108455,CP108456,CP108457",SAMN24016476,chromosome,linear,flye-contigger NBC_01267,3,2,0,7861081,8069363,52x,19328,430076041,7552854,65,7193,6902,"6, 6, 6 (5S, 16S, 23S)",69,70.12,355,354,1,1,0,356,,,Streptomyces,Streptomyces sp.,sp_mash_014,Streptomyces sp. (sp_mash_014),GCA_036241575.1,Complete genome,undefined,3,NBC_01267,Streptomyces sp. NBC_01267,custom
NBC_01268,Streptomyces,sp.,CP108454,SAMN24016477,chromosome,linear,flye-contigger NBC_01268,1,0,0,8505003,8505003,37x,20855,323658838,7250966,2,7615,7351,"7, 7, 7 (5S, 16S, 23S)",71,72.62,354,352,2,2,0,356,,,Streptomyces,Streptomyces sp.,sp_mash_105,Streptomyces sp. (sp_mash_105),GCA_036240795.1,Complete genome,undefined,1,NBC_01268,Streptomyces sp. NBC_01268,custom
NBC_01269,[Kitasatospora],papulosa,"CP108452,CP108453",SAMN24016478,chromosome,linear,flye-contigger NBC_01269,2,1,0,7413447,7532608,102x,26562,780900442,6647205,93,6654,6435,"6, 6, 6 (5S, 16S, 23S)",68,71.04,355,355,0,1,0,356,44953.0,,Streptomyces,Streptomyces papulosus,,Streptomyces papulosus,GCA_036240075.1,Complete genome,undefined,2,NBC_01269,[Kitasatospora] papulosa,custom
NBC_01270,Streptomyces,albidoflavus,CP108451,SAMN24016479,chromosome,linear,flye-contigger NBC_01270,1,0,0,7015337,7015337,8x,20326,65034931,4816492,3416,6107,5930,"7, 7, 7 (5S, 16S, 23S)",68,73.39,355,352,3,1,0,356,5840.0,,Streptomyces,Streptomyces albidoflavus,,Streptomyces albidoflavus,GCA_036239155.1,Complete genome,undefined,1,NBC_01270,Streptomyces albidoflavus,custom
NBC_01271,Streptomyces,albidoflavus,CP108450,SAMN24016480,chromosome,linear,flye-contigger NBC_01271,1,0,0,6978313,6978313,43x,14276,313312646,7451144,270,6065,5888,"7, 7, 7 (5S, 16S, 23S)",68,73.4,355,353,2,1,0,356,2384.0,,Streptomyces,Streptomyces albidoflavus,,Streptomyces albidoflavus,GCA_036238395.1,Complete genome,undefined,1,NBC_01271,Streptomyces albidoflavus,custom
NBC_01273,Streptomyces,antibioticus,"JAPEOY010000001,JAPEOY010000002,JAPEOY010000003,JAPEOY010000004,JAPEOY010000005,JAPEOY010000006,JAPEOY010000007,JAPEOY010000008,JAPEOY010000009,JAPEOY010000010,JAPEOY010000011",SAMN24016481,near-complete,linear,flye-contigger NBC_01273,11,0,0,4143092,7978920,17x,4023,147768258,6748135,139,7078,6880,"6, 6, 6 (5S, 16S, 23S)",69,71.94,354,352,2,2,0,356,,,Streptomyces,Streptomyces antibioticus_B,,Streptomyces antibioticus_B,GCA_026340665.1,Contig,JAPEOY000000000,undefined,NBC_01273,Streptomyces antibioticus,custom
NBC_01274,Streptomyces,albidoflavus,"CP108447,CP108448,CP108449",SAMN24016482,chromosome,linear,flye-contigger NBC_01274,3,0,2,7177495,7193926,35x,15174,261480787,5617147,169,6272,6075,"7, 7, 7 (5S, 16S, 23S)",67,73.31,355,352,3,1,0,356,2779.0,,Streptomyces,Streptomyces albidoflavus,,Streptomyces albidoflavus,GCA_041435375.1,Chromosome,undefined,1,NBC_01274,Streptomyces albidoflavus,custom
NBC_01275,Streptomyces,sp.,"JAPEOZ010000001,JAPEOZ010000002,JAPEOZ010000003,JAPEOZ010000004,JAPEOZ010000005,JAPEOZ010000006,JAPEOZ010000007,JAPEOZ010000008,JAPEOZ010000009",SAMN24016483,near-complete,linear,flye-contigger NBC_01275,9,0,0,10413473,10432551,42x,19252,574171823,5259714,108,9181,8726,"6, 6, 6 (5S, 16S, 23S)",75,71.17,355,353,2,1,0,356,,,Streptomyces,Streptomyces sp.,sp_mash_085,Streptomyces sp. (sp_mash_085),GCA_026340655.1,Contig,JAPEOZ000000000,undefined,NBC_01275,Streptomyces sp. NBC_01275,custom
NBC_01276,Streptomyces,sp.,"CP108442,CP108443,CP108444,CP108445,CP108446",SAMN24016484,chromosome,linear,flye-contigger NBC_01276,5,3,1,8225516,9369175,42x,16968,409562734,4705630,83,8399,8048,"7, 7, 7 (5S, 16S, 23S)",79,72.62,355,348,7,1,0,356,,,Streptomyces,Streptomyces sp.,sp_mash_158,Streptomyces sp. (sp_mash_158),GCA_041435355.1,Complete genome,undefined,5,NBC_01276,Streptomyces sp. NBC_01276,custom
NBC_01278,Streptomyces,sp.,"CP108439,CP108440,CP108441",SAMN24016485,chromosome,linear,flye-contigger NBC_01278,3,2,0,8759357,9725030,63x,13642,632827263,5021287,50,8928,8444,"7, 7, 7 (5S, 16S, 23S)",74,71.48,354,350,4,1,1,356,7217.0,,Streptomyces,Streptomyces sp.,sp_mash_010,Streptomyces sp. (sp_mash_010),GCA_036237395.1,Complete genome,undefined,3,NBC_01278,Streptomyces sp. NBC_01278,custom
NBC_01280,Streptomyces,sp.,CP108438,SAMN24016486,chromosome,linear,npgm-contigger NBC_01280,1,0,0,10211813,10211813,17x,8415,203096305,4980889,974,9238,8790,"7, 7, 7 (5S, 16S, 23S)",69,70.42,355,351,4,1,0,356,107479.0,70.0,Streptomyces,Streptomyces sp003403055,,Streptomyces sp003403055,GCA_036237375.1,Complete genome,undefined,1,NBC_01280,Streptomyces sp. NBC_01280,custom
NBC_01281,Streptomyces,sp.,"CP108435,CP108436,CP108437",SAMN24016487,chromosome,linear,npgm-contigger NBC_01281,3,2,0,9452090,9885581,38x,18935,401263848,4632591,184,8603,8334,"6, 6, 6 (5S, 16S, 23S)",76,71.22,355,350,5,1,0,356,128682.0,,Streptomyces,Streptomyces sp002078175,,Streptomyces sp002078175,GCA_035983575.1,Complete genome,undefined,3,NBC_01281,Streptomyces sp. NBC_01281,custom
NBC_01283,Streptomyces,sp.,"CP108430,CP108431,CP108432,CP108433,CP108434",SAMN24016488,chromosome,linear,npgm-contigger NBC_01283,5,0,4,9425041,9594106,11x,10335,125763003,3960446,58,8638,8334,"6, 6, 6 (5S, 16S, 23S)",70,70.27,354,351,3,2,0,356,201498.0,,Streptomyces,Streptomyces sp.,sp_mash_134,Streptomyces sp. (sp_mash_134),GCA_041435335.1,Chromosome,undefined,1,NBC_01283,Streptomyces sp. NBC_01283,custom
NBC_01285,Streptomyces,sp.,"JAPEPA010000001,JAPEPA010000002,JAPEPA010000003,JAPEPA010000004,JAPEPA010000005",SAMN24016489,near-complete,linear,flye-contigger NBC_01285,5,0,0,8112915,8412510,35x,7406,335859658,6024389,35,7582,7140,"6, 6, 6 (5S, 16S, 23S)",73,70.47,355,351,4,1,0,356,,70.0,Streptomyces,Streptomyces laculatispora,,Streptomyces laculatispora,GCA_026340825.1,Contig,JAPEPA000000000,undefined,NBC_01285,Streptomyces sp. NBC_01285,custom
NBC_01286,Amycolatopsis,sp.,"CP108428,CP108429",SAMN24016490,chromosome,circular,flye-contigger NBC_01286,2,1,0,10622967,10662691,50x,20335,551799627,6687522,6,9655,9492,"4, 4, 4 (5S, 16S, 23S)",50,71.51,356,351,5,0,0,356,,,Amycolatopsis,Amycolatopsis sp.,sp_mash_034,Amycolatopsis sp. (sp_mash_034),GCA_035982555.1,Complete genome,undefined,2,NBC_01286,Amycolatopsis sp. NBC_01286,custom
NBC_01287,Kitasatospora,sp.,"JAPEPB010000001,JAPEPB010000002,JAPEPB010000003,JAPEPB010000004",SAMN24016491,near-complete,linear,flye-contigger NBC_01287,4,0,0,8515066,9487181,62x,23448,625545705,4502617,218,8396,8106,"9, 9, 9 (5S, 16S, 23S)",75,72.78,355,355,0,1,0,356,,,Kitasatospora,Kitasatospora sp.,sp_mash_077,Kitasatospora sp. (sp_mash_077),GCA_026340565.1,Contig,JAPEPB000000000,undefined,NBC_01287,Kitasatospora sp. NBC_01287,custom
NBC_01288,Streptomyces,sp.,CP108427,SAMN24016492,chromosome,linear,flye-contigger NBC_01288,1,0,0,10558057,10558057,28x,19572,315104178,5985714,13,9512,9239,"6, 6, 6 (5S, 16S, 23S)",70,70.02,355,353,2,1,0,356,31297.0,,Streptomyces,Streptomyces sp.,sp_mash_016,Streptomyces sp. (sp_mash_016),GCA_035982055.1,Complete genome,undefined,1,NBC_01288,Streptomyces sp. NBC_01288,custom
NBC_01289,Micromonospora,zamorensis,CP108426,SAMN24016493,chromosome,circular,flye-contigger NBC_01289,1,0,0,7335492,7335492,90x,22953,682002891,6375732,1098,6725,6553,"3, 3, 3 (5S, 16S, 23S)",77,71.16,351,347,4,1,4,356,,,Micromonospora,Micromonospora zamorensis,,Micromonospora zamorensis,GCA_041429925.1,Complete genome,undefined,1,NBC_01289,Micromonospora zamorensis,custom
NBC_01290,Micromonospora,maris,CP108425,SAMN24016494,chromosome,circular,flye-contigger NBC_01290,1,0,0,6668972,6668972,33x,24422,225951674,6927697,4,6007,5863,"3, 3, 3 (5S, 16S, 23S)",50,70.85,348,345,3,3,5,356,,,Micromonospora,Micromonospora gifhornensis,,Micromonospora gifhornensis,GCA_035981415.1,Complete genome,undefined,1,NBC_01290,Micromonospora maris,custom
NBC_01294,Streptomyces,sp.,"CP108423,CP108424",SAMN24016495,near-complete,linear,npgm-contigger NBC_01294,2,1,0,8226482,8513219,87x,22821,718258957,5391452,14158,7704,7313,"7, 7, 7 (5S, 16S, 23S)",70,71.79,355,352,3,1,0,356,,,Streptomyces,Streptomyces sp.,sp_mash_057,Streptomyces sp. (sp_mash_057),GCA_035917235.1,Complete genome,undefined,2,NBC_01294,Streptomyces sp. NBC_01294,custom
NBC_01295,[Kitasatospora],papulosa,CP108422,SAMN24016496,chromosome,linear,flye-contigger NBC_01295,1,0,0,7559771,7559771,15x,25104,123743417,4883683,5,6706,6472,"6, 6, 6 (5S, 16S, 23S)",68,71.05,355,355,0,1,0,356,28429.0,,Streptomyces,Streptomyces papulosus,,Streptomyces papulosus,GCA_035980495.1,Complete genome,undefined,1,NBC_01295,[Kitasatospora] papulosa,custom
NBC_01296,Streptomyces,sp.,"CP130720,CP130721",SAMN24016497,chromosome,linear,npgm-contigger NBC_01296,2,1,0,8855236,9383688,37x,20125,179843831,7571137,149,8507,8100,"7, 7, 7 (5S, 16S, 23S)",71,71.69,356,350,6,0,0,356,58990.0,50.0,Streptomyces,Streptomyces sp.,sp_mash_007,Streptomyces sp. (sp_mash_007),GCA_035984415.1,Complete genome,undefined,2,NBC_01296,Streptomyces sp. NBC_01296,custom
NBC_01297,Streptomyces,tubercidicus,CP108419,SAMN24016498,chromosome,linear,npgm-contigger NBC_01297,1,0,0,8552987,8552987,29x,19265,263860324,6718327,120,7488,7091,"7, 7, 7 (5S, 16S, 23S)",66,70.7,355,352,3,1,0,356,60705.0,,Streptomyces,Streptomyces tubercidicus,,Streptomyces tubercidicus,GCA_035979555.1,Complete genome,undefined,1,NBC_01297,Streptomyces tubercidicus,custom
NBC_01298,Streptomyces,sp.,"CP108414,CP108415,CP108416,CP108417,CP108418",SAMN24016499,chromosome,linear,flye-contigger NBC_01298,5,4,0,9032271,9695021,55x,21930,557066731,6732937,276,8834,8517,"8, 7, 7 (5S, 16S, 23S)",75,71.67,355,352,3,1,0,356,,,Streptomyces,Streptomyces sp.,sp_mash_093,Streptomyces sp. (sp_mash_093),GCA_035978755.1,Complete genome,undefined,5,NBC_01298,Streptomyces sp. NBC_01298,custom
NBC_01299,Streptomyces,celluloflavus,CP108413,SAMN24016500,chromosome,linear,npgm-contigger NBC_01299,1,0,0,9247450,9247450,83x,12224,767199966,5020860,82,7894,7557,"7, 7, 7 (5S, 16S, 23S)",70,71.57,355,351,4,1,0,356,243178.0,,Streptomyces,Streptomyces celluloflavus,,Streptomyces celluloflavus,GCA_035977975.1,Complete genome,undefined,1,NBC_01299,Streptomyces celluloflavus,custom
NBC_01300,Kitasatospora,sp.,"CP108408,CP108409,CP108410,CP108411,CP108412",SAMN24016501,chromosome,linear,npgm-contigger NBC_01300,5,3,1,7759265,9442829,22x,11540,222640495,4682076,48,8218,7949,"12, 12, 12 (5S, 16S, 23S)",74,73.01,354,350,4,1,1,356,,,Kitasatospora,Kitasatospora sp001625365,,Kitasatospora sp001625365,GCA_041435235.1,Complete genome,undefined,5,NBC_01300,Kitasatospora sp. NBC_01300,custom
NBC_01302,Kitasatospora,sp.,"CP108404,CP108405,CP108406,CP108407",SAMN24016502,chromosome,linear,npgm-contigger NBC_01302,4,3,0,9102910,9359098,29x,18999,291093267,4433843,142,8199,7847,"10, 10, 10 (5S, 16S, 23S)",84,72.72,353,349,4,2,1,356,,50.0,Kitasatospora,Kitasatospora sp.,sp_mash_062,Kitasatospora sp. (sp_mash_062),GCA_035976515.1,Complete genome,undefined,4,NBC_01302,Kitasatospora sp. NBC_01302,custom
NBC_01304,Streptomyces,sp.,"CP109055,CP109056,CP109057,CP109058",SAMN24016503,chromosome,linear,npgm-contigger NBC_01304,4,3,0,10658997,10989260,23x,15693,279767980,5283600,105,9872,9587,"6, 6, 6 (5S, 16S, 23S)",71,70.11,355,350,5,1,0,356,59644.0,,Streptomyces,Streptomyces sp.,sp_mash_188,Streptomyces sp. (sp_mash_188),GCA_035975855.1,Complete genome,undefined,4,NBC_01304,Streptomyces sp. NBC_01304,custom
NBC_01306,Streptomyces,sp.,"JAPEPC010000001,JAPEPC010000002,JAPEPC010000003,JAPEPC010000004",SAMN24016504,near-complete,linear,flye-contigger NBC_01306,4,0,0,7495744,8383299,52x,21486,457098506,5121895,66,7466,7171,"6, 6, 6 (5S, 16S, 23S)",67,70.23,355,354,1,1,0,356,,,Streptomyces,Streptomyces sp.,sp_mash_008,Streptomyces sp. (sp_mash_008),GCA_026340465.1,Contig,JAPEPC000000000,undefined,NBC_01306,Streptomyces sp. NBC_01306,custom
NBC_01307,Amycolatopsis,sp.,CP108403,SAMN24016505,chromosome,circular,flye-contigger NBC_01307,1,0,0,11059676,11059676,71x,17861,813680456,5935033,59,10004,9833,"4, 4, 4 (5S, 16S, 23S)",50,71.38,356,351,5,0,0,356,,,Amycolatopsis,Amycolatopsis sp.,sp_mash_034,Amycolatopsis sp. (sp_mash_034),GCA_035975215.1,Complete genome,undefined,1,NBC_01307,Amycolatopsis sp. NBC_01307,custom
NBC_01309,Streptomycetaceae,,"CP108400,CP108401,CP108402",SAMN24016506,chromosome,linear,flye-contigger NBC_01309,3,2,0,10437558,10903266,14x,12657,165385128,5157592,174,9603,9318,"4, 4, 4 (5S, 16S, 23S)",60,71.72,355,347,8,1,0,356,,,,,,,,,,,,,custom
NBC_01310,Streptomyces,sp.,"CP108396,CP108397,CP108398,CP108399",SAMN24016507,chromosome,linear,npgm-contigger NBC_01310,4,3,0,8933524,9120024,45x,13874,417378498,4481838,835,8475,8070,"7, 7, 7 (5S, 16S, 23S)",73,71.76,355,350,5,1,0,356,222752.0,,Streptomyces,Streptomyces sp.,sp_mash_057,Streptomyces sp. (sp_mash_057),GCA_035974395.1,Complete genome,undefined,4,NBC_01310,Streptomyces sp. NBC_01310,custom
NBC_01314,Streptomyces,sp.,"CP108394,CP108395",SAMN24016508,near-complete,linear,npgm-contigger NBC_01314,2,0,1,11327816,11345428,31x,12009,373234419,4787726,228,10062,9472,"6, 6, 6 (5S, 16S, 23S)",73,70.4,355,349,6,1,0,356,,,Streptomyces,Streptomyces sp.,sp_mash_113,Streptomyces sp. (sp_mash_113),GCA_041435215.1,Complete genome,undefined,2,NBC_01314,Streptomyces sp. NBC_01314,custom
NBC_01317,Streptomyces,sp.,CP108393,SAMN24016509,chromosome,linear,npgm-contigger NBC_01317,1,0,0,8066947,8066947,32x,10428,276375111,6438797,75,6953,6687,"6, 6, 6 (5S, 16S, 23S)",66,71.17,354,346,8,1,1,356,55337.0,,Streptomyces,Streptomyces sp.,sp_mash_235,Streptomyces sp. (sp_mash_235),GCA_035961655.1,Complete genome,undefined,1,NBC_01317,Streptomyces sp. NBC_01317,custom
NBC_01318,Streptomyces,sp.,CP108392,SAMN24016510,chromosome,linear,npgm-contigger NBC_01318,1,0,0,9805183,9805183,28x,8853,295615586,3992966,3,8907,8351,"6, 6, 6 (5S, 16S, 23S)",73,69.44,355,348,7,1,0,356,294148.0,,Streptomyces,Streptomyces sp.,sp_mash_001,Streptomyces sp. (sp_mash_001),GCA_035974355.1,Complete genome,undefined,1,NBC_01318,Streptomyces sp. NBC_01318,custom
NBC_01320,Streptomyces,sp.,"CP108390,CP108391",SAMN24016511,chromosome,linear,npgm-contigger NBC_01320,2,1,0,11940402,12556891,21x,20529,275305262,5760496,52,11578,10437,"6, 6, 6 (5S, 16S, 23S)",76,69.37,355,350,5,1,0,356,540859.0,,Streptomyces,Streptomyces sp.,sp_mash_026,Streptomyces sp. (sp_mash_026),GCA_035974375.1,Complete genome,undefined,2,NBC_01320,Streptomyces sp. NBC_01320,custom
NBC_01321,Streptomyces,sp.,"CP108388,CP108389",SAMN24016512,chromosome,linear,flye-contigger NBC_01321,2,1,0,8066451,8221523,20x,34642,176119671,3810230,290,7466,6899,"6, 6, 6 (5S, 16S, 23S)",70,69.89,354,352,2,2,0,356,,25.0,Streptomyces,Streptomyces sp.,sp_mash_006,Streptomyces sp. (sp_mash_006),GCA_035974335.1,Complete genome,undefined,2,NBC_01321,Streptomyces sp. NBC_01321,custom
NBC_01324,Streptomyces,sp.,"CP108385,CP108386,CP108387",SAMN24016513,chromosome,linear,flye-contigger NBC_01324,3,2,0,8003226,8379700,27x,15784,236580404,4363275,893,7569,7303,"6, 6, 6 (5S, 16S, 23S)",69,70.97,355,351,4,1,0,356,,,Streptomyces,Streptomyces sp001905365,,Streptomyces sp001905365,GCA_035960815.1,Complete genome,undefined,3,NBC_01324,Streptomyces sp. NBC_01324,custom
NBC_01325,Streptomyces,subrutilus,"CP109051,CP109052,CP109053,CP109054",SAMN24016514,chromosome,linear,flye-contigger NBC_01325,4,3,0,7646701,7823131,125x,17149,991392531,4909554,134,7028,6811,"8, 7, 7 (5S, 16S, 23S)",68,73.27,355,352,3,1,0,356,,,Streptomyces,Streptomyces subrutilus,,Streptomyces subrutilus,GCA_035959875.1,Complete genome,undefined,4,NBC_01325,Streptomyces subrutilus,custom
NBC_01327,Nocardia,sp.,"CP108383,CP108384",SAMN24016515,chromosome,circular,flye-contigger NBC_01327,2,1,0,9083790,9376595,124x,14085,1195076837,5290599,6,8594,8428,"4, 4, 4 (5S, 16S, 23S)",65,66.54,356,349,7,0,0,356,,,Nocardia,Nocardia sp.,sp_mash_228,Nocardia sp. (sp_mash_228),GCA_035958815.1,Complete genome,undefined,2,NBC_01327,Nocardia sp. NBC_01327,custom
NBC_01328,Streptomyces,phaeochromogenes,CP108382,SAMN24016516,chromosome,linear,flye-contigger NBC_01328,1,0,0,11713170,11713170,22x,19584,266028486,5112835,334,10179,9905,"6, 6, 6 (5S, 16S, 23S)",71,70.13,355,351,4,1,0,356,16824.0,,Streptomyces,Streptomyces phaeochromogenes,,Streptomyces phaeochromogenes,GCA_035957715.1,Complete genome,undefined,1,NBC_01328,Streptomyces phaeochromogenes,custom
NBC_01329,Nocardia,sp.,CP108381,SAMN24016517,chromosome,circular,flye-contigger NBC_01329,1,0,0,6420957,6420957,60x,19628,395149245,4393468,4,5824,5644,"2, 2, 2 (5S, 16S, 23S)",48,67.08,355,355,0,0,1,356,,,Nocardia,Nocardia sp.,sp_mash_194,Nocardia sp. (sp_mash_194),GCA_035956715.1,Complete genome,undefined,1,NBC_01329,Nocardia sp. NBC_01329,custom
NBC_01331,Streptomyces,albidoflavus,"CP108379,CP108380",SAMN24016518,chromosome,linear,flye-contigger NBC_01331,2,1,0,7078426,7288318,46x,15615,356603470,5016336,300,6397,6191,"7, 7, 7 (5S, 16S, 23S)",67,73.26,355,352,3,1,0,356,372.0,,Streptomyces,Streptomyces albidoflavus,,Streptomyces albidoflavus,GCA_035955795.1,Complete genome,undefined,2,NBC_01331,Streptomyces albidoflavus,custom
NBC_01332,Streptomyces,murinus,CP108378,SAMN24016519,chromosome,linear,npgm-contigger NBC_01332,1,0,0,8550177,8550177,13x,8511,129827360,3892180,715,7547,7318,"7, 7, 7 (5S, 16S, 23S)",78,71.73,355,353,2,1,0,356,33225.0,,Streptomyces,Streptomyces murinus,,Streptomyces murinus,GCA_035954955.1,Complete genome,undefined,1,NBC_01332,Streptomyces murinus,custom
NBC_01333,Streptomyces,anulatus,"CP108376,CP108377",SAMN24016520,chromosome,linear,flye-contigger NBC_01333,2,1,0,8784835,8874522,55x,20641,498459673,3940597,278,7856,7592,"6, 6, 6 (5S, 16S, 23S)",69,71.39,355,355,0,1,0,356,15866.0,,Streptomyces,Streptomyces anulatus,,Streptomyces anulatus,GCA_035954115.1,Complete genome,undefined,2,NBC_01333,Streptomyces anulatus,custom
NBC_01334,Streptomyces,sp.,"CP130718,CP130719",SAMN24016521,chromosome,linear,npgm-contigger NBC_01334,2,1,0,10047871,10608739,31x,15553,174614860,4182819,40,9419,8988,"6, 6, 6 (5S, 16S, 23S)",75,71.04,355,354,1,1,0,356,137879.0,50.0,Streptomyces,Streptomyces sp001298545,,Streptomyces sp001298545,GCA_035983595.1,Complete genome,undefined,2,NBC_01334,Streptomyces sp. NBC_01334,custom
NBC_01335,Streptomyces,sp.,"CP108370,CP108371,CP108372,CP108373",SAMN24016522,chromosome,linear,flye-contigger NBC_01335,4,3,0,8204033,8361142,20x,10420,186043259,4456438,122,7083,6839,"7, 7, 7 (5S, 16S, 23S)",70,71.79,355,350,5,1,0,356,,25.0,Streptomyces,Streptomyces sp.,sp_mash_215,Streptomyces sp. (sp_mash_215),GCA_035953295.1,Complete genome,undefined,4,NBC_01335,Streptomyces sp. NBC_01335,custom
NBC_01336,Streptomyces,sp.,CP108369,SAMN24016523,chromosome,linear,npgm-contigger NBC_01336,1,0,0,9576147,9576147,47x,5665,475678161,4117678,4659,8271,7991,"7, 7, 7 (5S, 16S, 23S)",72,70.7,355,354,1,1,0,356,23758.0,,Streptomyces,Streptomyces sp.,sp_mash_017,Streptomyces sp. (sp_mash_017),GCA_035952475.1,Complete genome,undefined,1,NBC_01336,Streptomyces sp. NBC_01336,custom
NBC_01337,Streptomyces,platensis,CP108368,SAMN24016524,chromosome,linear,flye-contigger NBC_01337,1,0,0,8811944,8811944,22x,12644,200290186,3966652,17,7718,7379,"7, 7, 7 (5S, 16S, 23S)",67,71.0,355,352,3,1,0,356,23340.0,,Streptomyces,Streptomyces platensis,,Streptomyces platensis,GCA_035951655.1,Complete genome,undefined,1,NBC_01337,Streptomyces platensis,custom
